20130501000000,1.55358,1.55371
20130501000000,1.55357,1.55369
20130501000000,1.55353,1.55367
20130501000000,1.55349,1.55367
20130501000000,1.55349,1.55367
20130501000001,1.55348,1.55367
20130501000001,1.55348,1.55366
20130501000001,1.55347,1.55362
20130501000001,1.55344,1.55363
20130501000002,1.55348,1.55364
20130501000002,1.55348,1.55364
20130501000004,1.55348,1.55363
20130501000006,1.55348,1.55363
20130501000007,1.55344,1.55362
20130501000008,1.55344,1.55362
20130501000010,1.55344,1.55364
20130501000012,1.55344,1.55364
20130501000013,1.55344,1.55363
20130501000025,1.55344,1.5536
20130501000026,1.55344,1.55361
20130501000030,1.55344,1.55362
20130501000037,1.55346,1.55361
20130501000045,1.55346,1.55364
20130501000050,1.55346,1.55364
20130501000051,1.55348,1.55364
20130501000051,1.55346,1.55365
20130501000055,1.55346,1.55365
20130501000100,1.55345,1.55359
20130501000100,1.55345,1.55359
20130501000106,1.55354,1.55362
20130501000107,1.55355,1.5537
20130501000108,1.55356,1.5537
